CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multiprocess.py
CHLD 2 24.878906 1687897101.0688
CHLD 3 24.906250 1687897101.0688
CHLD 4 24.933594 1687897101.0688
CHLD 5 24.921875 1687897101.0688
CHLD 6 24.933594 1687897101.0688
CHLD 7 24.894531 1687897101.0688
MEM 21.488281 1687897101.1770
CHLD 0 25.027344 1687897101.1905
CHLD 1 24.968750 1687897101.1905
CHLD 2 24.878906 1687897101.1905
CHLD 3 24.906250 1687897101.1905
CHLD 4 24.933594 1687897101.1905
CHLD 5 24.921875 1687897101.1905
CHLD 6 24.933594 1687897101.1905
CHLD 7 24.902344 1687897101.1905
MEM 21.449219 1687897101.3084
